date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
27-11-2014,709.4,718,702.8,705.7,705.7,1821915,-0.244598517,-3034,12404
28-11-2014,716.1,749.2,715.6,744.7,744.7,3400152,-0.229508197,-1106,4819
01-12-2014,753.95,802.2,753.1,797.05,797.05,3291847,-0.170780856,-339,1985
02-12-2014,796.8,796.8,767.2,770.05,770.05,2476843,-0.177740864,-214,1204
03-12-2014,774.8,794.95,773,789.4,789.4,1711464,-0.200507614,-237,1182
04-12-2014,791.95,798.8,777.95,791.7,791.7,1376036,-0.175171363,-230,1313
05-12-2014,794.9,797.5,781.75,784.65,784.65,588459,-0.171802054,-184,1071
08-12-2014,794,809.6,786.2,793.5,793.5,1413437,-0.180863477,-155,857
09-12-2014,797,801.3,771.1,781.8,781.8,1457128,-0.122743682,-68,554
10-12-2014,779.95,779.95,764.45,775.65,775.65,1267394,-0.140271493,-62,442
11-12-2014,782.6,790.45,765,769.5,769.5,1437194,-0.188405797,-104,552
12-12-2014,774.5,785.35,770,774.3,774.3,1232250,-0.187390543,-107,571
15-12-2014,770,777.6,761.65,767.25,767.25,784332,-0.180272109,-106,588
16-12-2014,765,767,752,758.85,758.85,910901,-0.173241852,-101,583
17-12-2014,755.1,761.65,719,731.3,731.3,2346032,-0.146164978,-101,691
18-12-2014,737.2,748.8,735.2,744.95,744.95,1127699,-0.2100271,-155,738
19-12-2014,756.95,759.65,728,733,733,1902149,-0.1504,-94,625
22-12-2014,731.2,747.7,731.2,745.55,745.55,1029222,-0.121703854,-60,493
23-12-2014,747,751,735.4,739.25,739.25,669484,-0.076576577,-51,666
24-12-2014,740.1,743.2,725.15,728.45,728.45,2337291,-0.158536585,-91,574
26-12-2014,732,738,722,727.05,727.05,525701,-0.212475634,-109,513
29-12-2014,728.85,759.3,728.85,757.55,757.55,865233,-0.148325359,-62,418
30-12-2014,761,762.9,745,749.95,749.95,732669,-0.147420147,-60,407
31-12-2014,749.75,757.95,749.1,752.3,752.3,648847,-0.104683196,-38,363
01-01-2015,751.1,754.5,747,749.15,749.15,284935,-0.127710843,-53,415
02-01-2015,751.25,781.45,751.25,775.05,775.05,2080850,-0.064794816,-30,463
05-01-2015,779.9,787.9,772.7,775,775,1326999,-0.081339713,-34,418
06-01-2015,775,783,750.4,756.5,756.5,1510720,-0.070754717,-30,424
07-01-2015,763.4,778.35,759.25,771.7,771.7,1427667,-0.039014374,-19,487
08-01-2015,783.8,822.9,778.1,820.35,820.35,2769416,-0.101214575,-50,494
09-01-2015,828.45,829,804.05,812.5,812.5,1708427,-0.030357143,-17,560
12-01-2015,813.05,818.4,800.2,807.75,807.75,1320557,-0.081012658,-32,395
13-01-2015,813,842.45,812.1,833.85,833.85,3835281,0.009070295,4,441
14-01-2015,840,850,830.2,842.65,842.65,2320114,-0.051724138,-18,348
15-01-2015,849,850,833,839.35,839.35,1308063,-0.063432836,-17,268
16-01-2015,844.9,859,840,843.45,843.45,1568660,-0.090666667,-34,375
19-01-2015,846,848,829.55,831.9,831.9,1041563,0.018442623,9,488
20-01-2015,835,847,835,839.2,839.2,1314139,-0.072289157,-24,332
21-01-2015,845,855.9,839.2,851.3,851.3,1663391,-0.080851064,-38,470
22-01-2015,856.5,881.65,852.85,867.15,867.15,1995155,-0.052369077,-21,401
23-01-2015,870.8,879.95,860.1,862.1,862.1,1531430,-0.060773481,-22,362
27-01-2015,868.9,892.8,865.5,890.5,890.5,1831293,-0.059405941,-18,303
28-01-2015,893.05,921,891.05,910.25,910.25,2895714,-0.035598706,-11,309
29-01-2015,913.8,922.5,867.2,881.3,881.3,5326269,-0.029023747,-11,379
30-01-2015,888.5,888.5,854.1,857.75,857.75,3291034,-0.118243243,-35,296
02-02-2015,850,851.1,803.5,808.1,808.1,4808585,-0.107305936,-47,438
03-02-2015,809.8,826.5,802,814.7,814.7,3048559,-0.035714286,-16,448
04-02-2015,819.8,823.2,800.8,803.85,803.85,912365,-0.007263923,-3,413
05-02-2015,812,826.4,808,810.85,810.85,1668101,-0.065830721,-21,319
06-02-2015,810,815,788.8,797.65,797.65,1668283,-0.026128266,-11,421
09-02-2015,790,822,783.4,803.65,803.65,1910672,-0.105849582,-38,359
10-02-2015,801.9,829.9,799.85,822.2,822.2,2235687,-0.064285714,-18,280
11-02-2015,830,845,828,840.75,840.75,1227804,-0.077205882,-21,272
12-02-2015,847,849.9,819.35,823.75,823.75,1974102,-0.091254753,-24,263
13-02-2015,824.35,834.95,815.05,826.75,826.75,1323475,-0.068669528,-16,233
16-02-2015,834,842.5,818,834.15,834.15,1584956,-0.087349398,-29,332
18-02-2015,839.1,842,819.7,821.05,821.05,1448399,-0.087136929,-21,241
19-02-2015,826,838,826,834.1,834.1,1216904,-0.061946903,-21,339
20-02-2015,834.25,836.1,823.2,825.7,825.7,699111,-0.096875,-31,320
23-02-2015,829.5,833,806.1,809.6,809.6,1434240,-0.115702479,-28,242
24-02-2015,810,813.5,798,799.55,799.55,1141027,-0.152249135,-44,289
25-02-2015,805.2,816,805,813.85,813.85,1537365,-0.097014925,-26,268
26-02-2015,818.8,819.9,787.2,791.9,791.9,1600594,-0.035031847,-11,314
27-02-2015,799.1,809.1,796.1,807.15,807.15,1272026,-0.050632911,-12,237
28-02-2015,812.8,821.9,801.05,818.6,818.6,858985,-0.153005464,-28,183
02-03-2015,823.8,830.6,806,825.6,825.6,1383141,-0.150485437,-31,206
03-03-2015,829.85,842,827.2,838.3,838.3,1617826,-0.072519084,-19,262
04-03-2015,844.5,848.2,832.4,836.8,836.8,1600601,-0.111464968,-35,314
05-03-2015,837,841.55,828,833.9,833.9,694150,-0.029739777,-8,269
09-03-2015,832.5,832.5,808.85,812.65,812.65,626456,-0.069105691,-17,246
10-03-2015,813,818,802,807.95,807.95,691298,-0.077253219,-18,233
11-03-2015,818,819.95,806.75,809,809,942306,-0.017595308,-6,341
12-03-2015,814.8,815,805.2,808.1,808.1,979686,-0.022792023,-8,351
13-03-2015,811.9,818.7,805.6,808.4,808.4,837992,-0.010344828,-3,290
16-03-2015,813,835.85,809,831.85,831.85,1287189,-0.031620553,-8,253
17-03-2015,839.35,841.95,823,831.4,831.4,1384999,-0.027777778,-6,216
18-03-2015,835.85,835.85,810,814.2,814.2,1172762,-0.005830904,-2,343
19-03-2015,824,847.85,821.7,834.8,834.8,2037801,-0.055276382,-11,199
20-03-2015,836,837,805.6,809.95,809.95,1245311,-0.038235294,-13,340
23-03-2015,816,816,805.5,811.6,811.6,759196,-0.101123596,-18,178
24-03-2015,809.65,819.5,807.6,813.3,813.3,755974,-0.055921053,-17,304
25-03-2015,813.8,817.35,802.5,808.5,808.5,834390,-0.085365854,-28,328
26-03-2015,803,815.9,788,793.1,793.1,1516627,-0.133956386,-43,321
27-03-2015,793,793,768.1,778.15,778.15,1557785,-0.116129032,-54,465
30-03-2015,780.1,809.75,780.05,807.45,807.45,847421,-0.083870968,-26,310
31-03-2015,807.9,817,802.05,811.3,811.3,947718,-0.11627907,-30,258
01-04-2015,810,825.9,803.5,821.7,821.7,898480,-0.075601375,-22,291
06-04-2015,829,831.4,819,824.5,824.5,687263,-0.094462541,-29,307
07-04-2015,824.35,838.8,821,835.2,835.2,769528,-0.127020785,-55,433
08-04-2015,841,854,840,846.85,846.85,982733,-0.061617458,-48,779
09-04-2015,855,856,841,853.15,853.15,1019655,-0.099540582,-65,653
10-04-2015,853,861.7,843.2,859.45,859.45,802074,-0.080614203,-42,521
13-04-2015,860,865.55,852.4,862.05,862.05,805167,-0.203184411,-855,4208
15-04-2015,861.65,863,835,839.05,839.05,1279621,-0.184618222,-1001,5422
16-04-2015,835,836.85,810.6,822.25,822.25,1366075,-0.155234657,-215,1385
17-04-2015,822.25,829.6,815,816.8,816.8,685338,-0.172259508,-154,894
20-04-2015,818,819.3,800,808.95,808.95,920198,-0.119153675,-107,898
21-04-2015,813.45,816.9,792,796.5,796.5,652649,-0.081096849,-139,1714
22-04-2015,800,806,769.2,785.45,785.45,1779318,-0.057106599,-45,788
23-04-2015,793.1,810,785,786.4,786.4,1275295,-0.030757098,-39,1268
24-04-2015,792.5,792.5,765.05,771.35,771.35,1123939,-0.005628518,-6,1066
27-04-2015,775,775,740.55,744.8,744.8,1625216,-0.123966942,-120,968
28-04-2015,741.95,768.65,730,765.45,765.45,2052761,-0.155299056,-148,953
29-04-2015,763.1,763.1,750,754.4,754.4,1445757,-0.150877193,-86,570
30-04-2015,749.3,770.85,747.2,762.45,762.45,2260678,-0.125748503,-63,501
04-05-2015,769.85,781.5,764,779.4,779.4,1071772,-0.099796334,-49,491
05-05-2015,780,784.85,768.65,781.4,781.4,952716,-0.06768559,-31,458
06-05-2015,779,779,750.15,760.85,760.85,1616619,-0.076212471,-33,433
07-05-2015,753.3,773.45,734.85,765.75,765.75,1718402,-0.141414141,-56,396
08-05-2015,773,774.4,752.75,759.4,759.4,1127201,-0.060941828,-22,361
11-05-2015,768,776.2,751.9,771.65,771.65,976348,-0.078078078,-26,333
12-05-2015,772.8,772.85,754,758.35,758.35,1137027,-0.168316832,-68,404
13-05-2015,759.05,775,759,762.5,762.5,839420,-0.221590909,-78,352
14-05-2015,762,803,755,796.45,796.45,1975784,-0.093439364,-47,503
15-05-2015,802,818,785,790.3,790.3,1503598,-0.14953271,-48,321
18-05-2015,796.85,818,762,766.75,766.75,6759860,-0.14057508,-44,313
19-05-2015,758,779.3,750,774.75,774.75,3903935,-0.114583333,-33,288
20-05-2015,775.65,777.95,764.15,771.2,771.2,1793967,-0.141552511,-31,219
21-05-2015,770,779.8,766.05,777.2,777.2,1678041,-0.145762712,-43,295
22-05-2015,775,779.8,771.2,775.4,775.4,1039136,-0.177966102,-42,236
25-05-2015,775.95,778.75,754.4,761.9,761.9,1282826,-0.071005917,-24,338
26-05-2015,762.1,769,755.55,763.5,763.5,906103,-0.126279863,-37,293
27-05-2015,762,762.05,754.4,759.25,759.25,792609,-0.086757991,-19,219
28-05-2015,760.15,771,758.5,767.35,767.35,1051538,-0.202941176,-69,340
29-05-2015,768.5,795,768,787.05,787.05,2583950,-0.182662539,-59,323
01-06-2015,787.8,794.7,786.3,789.75,789.75,713447,-0.088161209,-35,397
02-06-2015,789.1,794.3,756,759.2,759.2,1014316,-0.088145897,-29,329
03-06-2015,763,767,750,762.7,762.7,867736,-0.130597015,-35,268
04-06-2015,763.9,766,751.8,759.6,759.6,820596,-0.12962963,-42,324
05-06-2015,759,765.6,752,758.8,758.8,830300,-0.050675676,-15,296
08-06-2015,759,760,745,748,748,795683,-0.099415205,-34,342
09-06-2015,744.8,751.2,730,735.7,735.7,998511,-0.054285714,-19,350
10-06-2015,736,745.1,734.6,739.15,739.15,803748,0,0,258
11-06-2015,739.2,743.7,702.5,708.4,708.4,1453089,-0.005208333,-1,192
12-06-2015,709,722.8,702,705.65,705.65,1168519,0.02247191,6,267
15-06-2015,714.75,719.4,696.4,698.55,698.55,1244078,-0.100456621,-22,219
16-06-2015,700.95,706,693,704.95,704.95,2765685,-0.042801556,-11,257
17-06-2015,708,719.2,705,710.65,710.65,2215497,-0.051162791,-11,215
18-06-2015,718.95,734.35,718.95,728.95,728.95,1908157,-0.091269841,-23,252
19-06-2015,733.8,744.9,729.75,740,740,1783890,0.006741573,3,445
22-06-2015,744.65,751.55,732.5,747.7,747.7,1350579,-0.089605735,-25,279
